record_id,governorate,city,region,year,month,date,latitude,longitude,utm32_easting,utm32_northing,population_density,urban_index,temperature_c,rainfall_mm,humidity_pct,ndvi_score,drought_pressure_score,electricity_pressure_score,tourism_pressure_score,observed_index,data_nature,observed_lag_1,observed_lag_2,observed_lag_3,observed_lag_6,observed_lag_12,rolling_mean_3,rolling_mean_6,target_stage1_tabular_score,target_stage2_lstm_score,lstm_tourism_next_3m
EX23_Ariana_2017_01,Ariana,Ariana,Nord-Est,2017,1,2017-01-15,36.898703,10.14068,601629.61,4084242.67,1800,86.0,11.91,107.73,82.35,82.89,14.43,72.66,73.37,71.45,données du projet,62.28,66.67,73.68,92.08,79.94,67.54333333333334,76.47333333333334,70.08,69.19,69.19
EX23_Ariana_2017_02,Ariana,Ariana,Nord-Est,2017,2,2017-02-15,36.854599,10.158158,603246.21,4079368.7,1800,86.0,14.84,114.14,89.82,73.63,12.73,69.7,57.6,62.46,données du projet,71.45,62.28,66.67,82.26,74.0,66.8,73.035,64.08,69.64,69.64
EX23_Ariana_2017_03,Ariana,Ariana,Nord-Est,2017,3,2017-03-15,36.87935,10.112015,599100.55,4082065.55,1800,86.0,17.87,93.32,75.12,69.03,31.02,82.37,70.0,66.84,données du projet,62.46,71.45,62.28,81.87,84.82,65.39666666666666,69.735,69.66,79.9,79.9
EX23_Ariana_2017_04,Ariana,Ariana,Nord-Est,2017,4,2017-04-15,36.866346,10.195825,606587.91,4080713.26,1800,86.0,22.28,72.08,76.71,60.2,46.2,88.99,78.38,73.35,données du projet,66.84,62.46,71.45,73.68,61.34,66.91666666666667,67.23,88.04,76.98,76.98
EX23_Ariana_2017_05,Ariana,Ariana,Nord-Est,2017,5,2017-05-15,36.912242,10.21566,608291.12,4085827.22,1800,86.0,26.75,40.3,63.61,57.16,75.7,90.7,75.1,75.07,données du projet,73.35,66.84,62.46,66.67,69.89,67.55,67.175,85.24,93.06,93.06
EX23_Ariana_2017_06,Ariana,Ariana,Nord-Est,2017,6,2017-06-15,36.85093,10.20556,607477.27,4079013.93,1800,86.0,28.1,32.44,59.06,58.79,73.63,91.73,92.07,84.62,données du projet,75.07,73.35,66.84,62.28,82.65,71.75333333333333,68.575,81.4,94.13,94.13
EX23_Ariana_2017_07,Ariana,Ariana,Nord-Est,2017,7,2017-07-15,36.843955,10.202795,607240.5,4078237.05,1800,86.0,32.82,31.56,53.48,46.61,76.94,100.0,86.37,84.79,données du projet,84.62,75.07,73.35,71.45,92.08,77.67999999999999,72.29833333333333,100.0,88.7,88.7
EX23_Ariana_2017_08,Ariana,Ariana,Nord-Est,2017,8,2017-08-15,36.92782,10.148142,602255.56,4087480.8,1800,86.0,30.03,24.9,61.5,49.61,76.57,100.0,100.0,95.22,données du projet,84.79,84.62,75.07,62.46,82.26,81.49333333333334,74.52166666666666,70.55,82.67,82.67
EX23_Ariana_2017_09,Ariana,Ariana,Nord-Est,2017,9,2017-09-15,36.876625,10.128799,600599.95,4081780.82,1800,86.0,26.88,57.18,60.99,49.42,60.95,95.2,91.99,92.74,données du projet,95.22,84.79,84.62,66.84,81.87,88.21,79.98166666666667,97.87,76.2,76.2
EX23_Ariana_2017_10,Ariana,Ariana,Nord-Est,2017,10,2017-10-15,36.896362,10.129204,600610.15,4083970.82,1800,86.0,18.28,80.99,71.94,69.78,38.36,80.5,74.91,83.14,données du projet,92.74,95.22,84.79,73.35,73.68,90.91666666666667,84.29833333333333,85.19,66.66,66.66
EX23_Ariana_2017_11,Ariana,Ariana,Nord-Est,2017,11,2017-11-15,36.873128,10.15901,603297.23,4081425.15,1800,86.0,15.81,77.36,77.9,67.01,39.46,77.63,69.25,72.19,données du projet,83.14,92.74,95.22,75.07,66.67,90.36666666666666,85.92999999999999,48.49,72.57,72.57
EX23_Ariana_2017_12,Ariana,Ariana,Nord-Est,2017,12,2017-12-15,36.878011,10.168494,604135.88,4081977.16,1800,86.0,11.09,100.5,77.07,70.87,9.76,83.65,65.8,68.6,données du projet,72.19,83.14,92.74,84.62,62.28,82.69,85.45,54.77,76.66,76.66
EX23_Ariana_2018_01,Ariana,Ariana,Nord-Est,2018,1,2018-01-15,36.906777,10.227903,609389.56,4085234.87,1800,86.0,13.13,88.16,90.55,74.73,18.99,81.72,72.04,68.53,données du projet,68.6,72.19,83.14,84.79,71.45,74.64333333333333,82.78,89.05,72.24,72.24
EX23_Ariana_2018_02,Ariana,Ariana,Nord-Est,2018,2,2018-02-15,36.886226,10.140654,601643.86,4082858.51,1800,86.0,14.9,110.95,92.47,72.34,17.02,83.71,85.48,83.58,données du projet,68.53,68.6,72.19,95.22,62.46,69.77333333333333,80.07000000000001,87.43,67.03,67.03
EX23_Ariana_2018_03,Ariana,Ariana,Nord-Est,2018,3,2018-03-15,36.893253,10.184684,605557.8,4083685.82,1800,86.0,20.96,94.47,78.65,68.58,34.25,69.7,70.07,71.9,données du projet,83.58,68.53,68.6,92.74,66.84,73.57000000000001,78.13,83.42,68.17,68.17
EX23_Ariana_2018_04,Ariana,Ariana,Nord-Est,2018,4,2018-04-15,36.850031,10.151057,602619.27,4078854.3,1800,86.0,23.25,65.68,69.78,61.35,48.58,98.18,52.4,59.79,données du projet,71.9,83.58,68.53,83.14,73.35,74.67,74.65666666666665,80.22,79.9,79.9
EX23_Ariana_2018_05,Ariana,Ariana,Nord-Est,2018,5,2018-05-15,36.84047,10.17447,604719.73,4077819.03,1800,86.0,26.91,60.98,62.18,47.05,53.87,95.01,73.93,66.66,données du projet,59.79,71.9,83.58,72.19,75.07,71.75666666666667,70.765,80.06,84.77,84.77
EX23_Ariana_2018_06,Ariana,Ariana,Nord-Est,2018,6,2018-06-15,36.878195,10.190579,606103.9,4082021.89,1800,86.0,29.27,20.73,52.73,53.27,75.33,86.1,99.83,87.28,données du projet,66.66,59.79,71.9,68.6,84.62,66.11666666666666,69.84333333333332,89.09,84.54,84.54
EX23_Ariana_2018_07,Ariana,Ariana,Nord-Est,2018,7,2018-07-15,36.867516,10.121212,599935.62,4080762.34,1800,86.0,32.32,27.73,52.86,46.93,76.49,98.39,88.4,82.96,données du projet,87.28,66.66,59.79,68.53,84.79,71.24333333333333,72.95666666666666,87.51,74.25,74.25
EX23_Ariana_2018_08,Ariana,Ariana,Nord-Est,2018,8,2018-08-15,36.888107,10.164023,603723.77,4083092.29,1800,86.0,32.56,24.12,60.08,50.87,96.23,100.0,89.9,83.95,données du projet,82.96,87.28,66.66,83.58,95.22,78.96666666666665,75.36166666666666,85.71,73.61,73.61
EX23_Ariana_2018_09,Ariana,Ariana,Nord-Est,2018,9,2018-09-15,36.831308,10.135661,601271.36,4076760.73,1800,86.0,28.17,29.59,71.57,50.72,59.48,99.64,85.21,80.79,données du projet,83.95,82.96,87.28,71.9,92.74,84.73,75.42333333333333,51.59,69.0,69.0
EX23_Ariana_2018_10,Ariana,Ariana,Nord-Est,2018,10,2018-10-15,36.879895,10.157195,603126.4,4082173.86,1800,86.0,21.73,95.26,73.62,62.39,39.24,82.44,58.08,64.18,données du projet,80.79,83.95,82.96,59.79,83.14,82.56666666666666,76.905,88.76,69.19,69.19
EX23_Ariana_2018_11,Ariana,Ariana,Nord-Est,2018,11,2018-11-15,36.879272,10.172352,604478.03,4082121.32,1800,86.0,17.38,98.15,80.0,84.35,20.39,82.51,75.01,71.41,données du projet,64.18,80.79,83.95,66.66,72.19,76.30666666666667,77.63666666666667,84.33,67.09,67.09
EX23_Ariana_2018_12,Ariana,Ariana,Nord-Est,2018,12,2018-12-15,36.867875,10.187513,605844.92,4080873.65,1800,86.0,10.11,83.14,86.68,79.71,20.68,81.28,74.69,72.57,données du projet,71.41,64.18,80.79,87.28,68.6,72.12666666666667,78.42833333333333,69.85,68.45,68.45
EX23_Ariana_2019_01,Ariana,Ariana,Nord-Est,2019,1,2019-01-15,36.899444,10.115544,599389.03,4084298.39,1800,86.0,12.29,84.32,87.72,71.24,10.71,85.17,61.97,65.45,données du projet,72.57,71.41,64.18,82.96,68.53,69.38666666666666,75.97666666666667,66.99,61.67,61.67
EX23_Ariana_2019_02,Ariana,Ariana,Nord-Est,2019,2,2019-02-15,36.90313,10.152697,602694.32,4084746.66,1800,86.0,12.52,107.65,87.9,85.45,14.22,78.66,65.89,63.58,données du projet,65.45,72.57,71.41,83.95,83.58,69.80999999999999,73.05833333333334,33.23,64.01,64.01
EX23_Ariana_2019_03,Ariana,Ariana,Nord-Est,2019,3,2019-03-15,36.815448,10.148724,602457.36,4075015.24,1800,86.0,20.86,114.9,78.28,65.39,24.48,97.0,53.99,56.07,données du projet,63.58,65.45,72.57,80.79,71.9,67.19999999999999,69.66333333333333,62.83,72.34,72.34
EX23_Ariana_2019_04,Ariana,Ariana,Nord-Est,2019,4,2019-04-15,36.848016,10.188262,605939.1,4078671.36,1800,86.0,24.48,45.11,67.59,61.53,42.68,87.8,66.61,69.15,données du projet,56.07,63.58,65.45,64.18,59.79,61.699999999999996,65.54333333333334,54.97,81.59,81.59
EX23_Ariana_2019_05,Ariana,Ariana,Nord-Est,2019,5,2019-05-15,36.828703,10.137332,601423.77,4076473.52,1800,86.0,26.7,36.89,65.0,65.83,57.84,89.99,69.59,67.34,données du projet,69.15,56.07,63.58,71.41,66.66,62.93333333333334,66.37166666666667,83.74,87.87,87.87
EX23_Ariana_2019_06,Ariana,Ariana,Nord-Est,2019,6,2019-06-15,36.861122,10.177329,604946.41,4080113.21,1800,86.0,29.06,38.76,56.27,53.58,71.68,100.0,92.53,84.87,données du projet,67.34,69.15,56.07,72.57,87.28,64.18666666666667,65.69333333333333,100.0,92.35,92.35
EX23_Ariana_2019_07,Ariana,Ariana,Nord-Est,2019,7,2019-07-15,36.885678,10.122691,600043.78,4082778.77,1800,86.0,31.85,6.96,52.74,45.81,94.81,91.57,100.0,96.48,données du projet,84.87,67.34,69.15,65.45,82.96,73.78666666666668,67.74333333333334,86.14,84.22,84.22
EX23_Ariana_2019_08,Ariana,Ariana,Nord-Est,2019,8,2019-08-15,36.938444,10.139859,601503.76,4088650.63,1800,86.0,28.95,14.86,58.24,57.87,85.16,91.51,88.14,92.22,données du projet,96.48,84.87,67.34,63.58,83.95,82.89666666666668,72.915,91.6,79.36,79.36
EX23_Ariana_2019_09,Ariana,Ariana,Nord-Est,2019,9,2019-09-15,36.8675,10.184962,605618.05,4080829.2,1800,86.0,28.71,31.59,65.3,52.92,71.5,100.0,80.67,82.52,données du projet,92.22,96.48,84.87,56.07,80.79,91.19000000000001,77.68833333333335,92.0,69.35,69.35
EX23_Ariana_2019_10,Ariana,Ariana,Nord-Est,2019,10,2019-10-15,36.923361,10.111188,598969.98,4086947.22,1800,86.0,19.31,64.9,79.95,63.95,37.93,86.14,82.44,80.32,données du projet,82.52,92.22,96.48,69.15,64.18,90.40666666666668,82.09666666666668,56.97,65.55,65.55
EX23_Ariana_2019_11,Ariana,Ariana,Nord-Est,2019,11,2019-11-15,36.793543,10.158857,603390.67,4072596.11,1800,86.0,18.46,108.7,85.01,74.32,31.95,75.52,64.01,66.45,données du projet,80.32,82.52,92.22,67.34,71.41,85.02,83.95833333333333,78.18,65.47,65.47
EX23_Ariana_2019_12,Ariana,Ariana,Nord-Est,2019,12,2019-12-15,36.901523,10.154241,602834.09,4084570.12,1800,86.0,13.18,85.92,92.5,76.1,14.42,85.56,67.95,66.51,données du projet,66.45,80.32,82.52,84.87,72.57,76.43,83.80999999999999,64.61,63.03,63.03
